,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Knives Out,2019,7.9,82.0,330564,165.36,130
1,Parasite,2019,8.6,96.0,433910,53.37,132
2,Once Upon a Time... in Hollywood,2019,7.7,83.0,482289,142.5,161
3,Joker,2019,8.5,59.0,814660,335.45,122
4,The Gentlemen,2019,7.9,51.0,151734,,113
5,Avengers: Endgame,2019,8.4,78.0,731582,858.37,181
6,1917,2019,8.3,78.0,332669,159.23,119
7,The Shawshank Redemption,1994,9.3,80.0,2254214,28.34,142
8,Alien,1979,8.4,89.0,760996,78.9,117
9,The Wolf of Wall Street,2013,8.2,75.0,1124622,116.9,180
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1605772,315.54,178
11,The Help,2011,8.1,62.0,415395,169.71,146
12,Jojo Rabbit,2019,7.9,58.0,229885,0.35,108
13,Inception,2010,8.8,74.0,1977007,292.58,148
14,Little Women,2019,7.9,91.0,111257,108.1,135
15,The Godfather,1972,9.2,100.0,1555406,134.97,175
16,The Silence of the Lambs,1991,8.6,85.0,1220784,130.74,118
17,Gone with the Wind,1939,8.1,97.0,280697,198.68,238
18,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,617396,317.58,152
19,Back to the Future,1985,8.5,87.0,1011569,210.61,116
20,Into the Wild,2007,8.1,73.0,554674,18.35,148
21,Interstellar,2014,8.6,74.0,1427000,188.02,169
22,The Dark Knight,2008,9.0,84.0,2220997,534.86,152
23,V for Vendetta,2005,8.2,62.0,1001250,70.51,132
24,Pulp Fiction,1994,8.9,94.0,1764316,107.93,154
25,Django Unchained,2012,8.4,81.0,1304251,162.81,165
26,The Matrix,1999,8.7,73.0,1616720,171.48,136
27,The Lighthouse,2019,7.6,83.0,109867,0.43,109
28,The Fifth Element,1997,7.7,52.0,422603,63.54,126
29,Ford v Ferrari,2019,8.1,81.0,226218,117.62,152
30,Rogue One: A Star Wars Story,2016,7.8,65.0,533343,532.18,133
31,Inglourious Basterds,2009,8.3,69.0,1216766,120.54,153
32,Do the Right Thing,1989,7.9,93.0,83617,27.55,120
33,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,323957,190.24,117
34,Jurassic Park,1993,8.1,68.0,834873,402.45,127
35,Titanic,1997,7.8,75.0,1015941,659.33,194
36,Call Me by Your Name,2017,7.9,93.0,194217,18.1,132
37,The Irishman,2019,7.9,94.0,295450,,209
38,Almost Famous,2000,7.9,90.0,245299,32.53,122
39,Boogie Nights,1997,7.9,85.0,231472,26.4,155
40,The Departed,2006,8.5,85.0,1148623,132.38,151
41,Avengers: Infinity War,2018,8.4,68.0,782175,678.82,149
42,Fight Club,1999,8.8,66.0,1791521,37.03,139
43,The Prestige,2006,8.5,66.0,1141987,53.09,130
44,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,543020,389.81,136
45,Mad Max: Fury Road,2015,8.1,90.0,846242,154.06,120
46,Blade Runner 2049,2017,8.0,81.0,433684,92.05,164
47,Gladiator,2000,8.5,67.0,1295354,187.71,155
48,Forrest Gump,1994,8.8,82.0,1737717,330.25,142
49,The Green Mile,1999,8.6,61.0,1099143,136.8,189
50,Thor: Ragnarok,2017,7.9,74.0,555864,315.06,130
51,The Goonies,1985,7.8,62.0,233997,61.5,114
52,Apocalypse Now,1979,8.4,94.0,584799,83.47,147
53,No Country for Old Men,2007,8.1,91.0,821243,74.28,122
54,Se7en,1995,8.6,65.0,1387476,100.13,127
55,Watchmen,2009,7.6,56.0,486697,107.51,162
56,Zodiac,2007,7.7,78.0,435105,33.08,157
57,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1591290,377.85,201
58,Malcolm X,1992,7.7,72.0,82009,48.17,202
59,Goodfellas,1990,8.7,90.0,980713,46.84,146
60,Léon: The Professional,1994,8.5,64.0,997645,19.5,110
61,The Dark Knight Rises,2012,8.4,78.0,1468121,448.14,164
62,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1195429,322.74,121
63,Get Out,2017,7.7,85.0,464098,176.04,104
64,A Clockwork Orange,1971,8.3,80.0,733833,6.21,136
65,Room,2015,8.1,86.0,351641,14.68,118
66,Guardians of the Galaxy,2014,8.0,76.0,1016068,333.18,121
67,Batman Begins,2005,8.2,70.0,1267045,206.85,140
68,The Princess Bride,1987,8.1,77.0,381259,30.86,98
69,Green Book,2018,8.2,69.0,329800,85.08,130
70,Inside Man,2006,7.6,76.0,328518,88.51,129
71,Gone Girl,2014,8.1,79.0,823597,167.77,149
72,Bohemian Rhapsody,2018,8.0,49.0,427062,216.43,134
73,The Shining,1980,8.4,66.0,858213,44.02,146
74,Psycho,1960,8.5,97.0,579543,32.0,109
75,Portrait of a Lady on Fire,2019,8.1,95.0,41945,,122
76,Jaws,1975,8.0,87.0,530917,260.0,124
77,Schindler's List,1993,8.9,94.0,1171046,96.9,195
78,Shutter Island,2010,8.1,63.0,1084118,128.01,138
79,Ratatouille,2007,8.0,96.0,619277,206.45,111
80,The Hobbit: An Unexpected Journey,2012,7.8,58.0,742687,303.0,169
81,Harry Potter and the Goblet of Fire,2005,7.7,81.0,525063,290.01,157
82,Mission: Impossible - Fallout,2018,7.7,86.0,275110,220.16,147
83,12 Years a Slave,2013,8.1,96.0,618356,56.67,134
84,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,736358,381.01,130
85,Saving Private Ryan,1998,8.6,91.0,1191931,216.54,169
86,Toy Story 4,2019,7.8,84.0,183025,434.04,100
87,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,996352,305.41,143
88,Taxi Driver,1976,8.3,94.0,695060,28.26,114
89,What We Do in the Shadows,2014,7.7,76.0,147362,3.33,86
90,Avatar,2009,7.8,83.0,1095145,760.51,162
91,Prisoners,2013,8.1,70.0,573565,61.0,153
92,A Star Is Born,2018,7.7,88.0,311925,215.29,136
93,Dunkirk,2017,7.9,94.0,521656,188.37,106
94,Casino,1995,8.2,73.0,446970,42.44,178
95,The Godfather: Part II,1974,9.0,90.0,1087103,57.3,202
96,E.T. the Extra-Terrestrial,1982,7.8,91.0,359052,435.11,115
97,Ghostbusters,1984,7.8,71.0,344053,238.63,105
98,Raiders of the Lost Ark,1981,8.4,85.0,858131,248.16,115
99,Whiplash,2014,8.5,88.0,681344,13.09,106
100,The Hateful Eight,2015,7.8,68.0,492423,54.12,168
101,Scarface,1983,8.3,65.0,713457,45.6,170
102,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,172191,4.0,100
103,Casino Royale,2006,8.0,80.0,566304,167.45,144
104,Spirited Away,2001,8.6,96.0,616480,10.06,125
105,Apocalypto,2006,7.8,68.0,283740,50.87,139
106,Memento,2000,8.4,80.0,1088554,25.54,113
107,Moana,2016,7.6,81.0,255366,248.76,107
108,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1437805,342.55,179
109,The Breakfast Club,1985,7.9,66.0,343218,45.88,97
110,Requiem for a Dream,2000,8.3,68.0,742087,3.64,102
